stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
17952,17952,"ПИСКАРЁВСКИЙ ПР.,161",60.005416,30.448437,0,2,bus
17971,17971,УЛ. КОММУНЫ,59.844605,30.027952,0,2,bus
17970,17970,"ДАЧНОЕ, Ж/Д СТ.",59.836730,30.269587,0,2,bus
17969,17969,"ДАЧНОЕ, Ж/Д СТ.",59.836449,30.268750,0,2,bus
17972,17972,УЛ. КОММУНЫ,59.844432,30.027695,0,2,bus
17929,17929,26 КМ,60.293857,30.237755,0,2,bus
17930,17930,26 КМ,60.293398,30.237272,0,2,bus
17931,17931,29 КМ,60.311690,30.259566,0,2,bus
17932,17932,29 КМ,60.311770,30.259220,0,2,bus
17933,17933,ДОРОГА НА ЛЕМБОЛОВО,60.315549,30.264620,0,2,bus
17934,17934,ДОРОГА НА ЛЕМБОЛОВО,60.316326,30.267076,0,2,bus
17920,17920,ДОРОГА НА ЕЛИЗАВЕТИНКУ,60.273269,30.230928,0,2,bus
17922,17922,ДОРОГА НА МАЛЫЕ ЮККИ,60.119368,30.265601,0,2,bus
17923,17923,"ПОС. ПАРГОЛОВО, ПОЧТА",60.092468,30.256912,0,2,bus
17924,17924,РАЗВИЛКА,60.104069,30.248204,0,2,bus
17949,17949,"ПИСКАРЁВСКИЙ ПР.,161",60.005420,30.447880,0,2,bus
17951,17951,"ПИСКАРЁВСКИЙ ПР.,145",60.003244,30.446186,0,2,bus
17950,17950,"ПИСКАРЁВСКИЙ ПР.,145",60.003320,30.445610,0,2,bus
17937,17937,"ДЕР.КЕРРО, ГОРОДОК",60.317747,30.310056,0,2,bus
18420,18420,УЛ. ШЕЛГУНОВА,59.865429,30.452803,0,2,bus
18416,18416,ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1,59.827262,30.514752,0,2,bus
18417,18417,"КАРАВАЕВСКАЯ УЛ., 35",59.830680,30.513389,0,2,bus
18418,18418,"КАРАВАЕВСКАЯ УЛ., УНИВЕРСАМ",59.832999,30.506169,0,2,bus
18430,18430,"Г. ПАВЛОВСК, ВОКЗАЛ",59.692958,30.432794,0,2,bus
